Issue ID,Type 1,Type 2,Type 3
HDFS-5569,Existence,,
HDFS-5851,Existence,,
HDFS-5957,Existence,,
HDFS-6133,Existence,,
HDFS-6482,Existence,,
HDFS-6634,Existence,,
HDFS-7859,Existence,,
HDFS-7964,Existence,,
HDFS-8833,Existence,,
HDFS-9040,Existence,,
HDFS-9144,Existence,,
HDFS-9525,Existence,,
HDFS-9607,Existence,,
HDFS-9711,Existence,Property,
MAPREDUCE-1881,Existence,,
MAPREDUCE-211,Existence,,
MAPREDUCE-2863,Existence,,
MAPREDUCE-350,Existence,,
MAPREDUCE-359,Existence,,
MAPREDUCE-363,Existence,,
MAPREDUCE-364,Existence,,
MAPREDUCE-366,Existence,,
MAPREDUCE-368,Existence,,
MAPREDUCE-4417,Property,,
MAPREDUCE-5176,Existence,,
MAPREDUCE-5870,Existence,,
MAPREDUCE-5951,Existence,,
MAPREDUCE-861,Existence,,
MAPREDUCE-893,Existence,,
TAJO-1008,Existence,,
TAJO-1114,Existence,,
TAJO-139,Property,,
TAJO-1430,Existence,Property,
TAJO-1450,Existence,,
TAJO-1487,Existence,,
TAJO-1493,Existence,,
TAJO-1730,Executive,Existence,
TAJO-2022,Existence,,
TAJO-2099,Existence,,
TAJO-2122,Existence,,
TAJO-2126,Existence,,
TAJO-220,Existence,,
TAJO-229,Existence,,
TAJO-338,Existence,,
TAJO-475,Existence,,
TAJO-57,Executive,Existence,
TAJO-574,Existence,,
TAJO-605,Existence,,
TAJO-774,Existence,,
TAJO-825,Executive,,
YARN-1029,Existence,,
YARN-103,Existence,,
YARN-1040,Existence,,
YARN-128,Existence,,
YARN-1366,Existence,,
YARN-1593,Existence,,
YARN-1651,Existence,,
YARN-1963,Existence,,
YARN-1994,Existence,,
YARN-2004,Existence,,
YARN-2033,Existence,,
YARN-2113,Existence,,
YARN-230,Existence,,
YARN-2423,Existence,,
YARN-2468,Existence,,
YARN-2517,Existence,,
YARN-2765,Existence,,
YARN-3,Existence,,
YARN-3034,Existence,,
YARN-3041,Existence,,
YARN-3044,Existence,,
YARN-3045,Existence,,
YARN-3047,Existence,,
YARN-3049,Existence,,
YARN-3051,Existence,,
YARN-3318,Existence,,
YARN-3366,Existence,,
YARN-3672,Existence,,
YARN-3815,Existence,,
YARN-3895,Existence,,
YARN-3901,Existence,,
YARN-3904,Existence,,
YARN-392,Existence,,
YARN-3998,Existence,,
YARN-4074,Existence,,
YARN-417,Existence,,
YARN-422,Existence,,
YARN-4224,Existence,Property,
YARN-4265,Existence,,
YARN-4368,Existence,,
YARN-4390,Existence,,
YARN-4412,Existence,,
YARN-4577,Existence,,
YARN-4719,Existence,,
YARN-4876,Existence,,
YARN-5139,Existence,,
YARN-5215,Existence,,
YARN-5280,Existence,,
YARN-5292,Existence,,
YARN-5392,Existence,,
YARN-556,Existence,,
YARN-5561,Existence,,
YARN-5610,Existence,,
YARN-5611,Existence,,
YARN-5620,Existence,,
YARN-5892,Existence,,
YARN-624,Existence,,
YARN-6599,Existence,,
YARN-6620,Existence,,
YARN-679,Existence,,
YARN-6858,Existence,,
YARN-7197,Existence,,
YARN-7468,Existence,,
YARN-7494,Property,,
YARN-7522,Existence,,
YARN-7605,Existence,,
YARN-8250,Existence,,
YARN-8320,Existence,,
YARN-8468,Existence,,
YARN-8638,Existence,,
YARN-896,Property,,
YARN-9879,Existence,,
YARN-9923,Existence,,
